/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 1000 -t 7000000 -m 0.1 
Jump 57500000; time 1034614.8;  553 to  552.
Jump 57600000; time 1034829.3;  457 to  458.
Jump 57700000; time 1035060.4;  507 to  506.
Jump 57800000; time 1035289.0;  435 to  436.
Jump 57900000; time 1035814.6;  911 to  912.
Jump 58000000; time 1037714.3;  637 to  636.
Jump 58100000; time 1037937.8;  683 to  684.
Jump 58200000; time 1040214.6;  151 to  152.
Jump 58300000; time 1041780.6;  215 to  214.
Jump 58400000; time 1042019.6;  119 to  120.
Jump 58500000; time 1049124.9;  245 to  244.
Jump 58600000; time 1049337.5;  647 to  648.
Jump 58700000; time 1049563.7;  771 to  772.
Jump 58800000; time 1049838.6;  305 to  306.
Jump 58900000; time 1050611.2;  141 to  140.
Jump 59000000; time 1052303.2;  341 to  342.
Jump 59100000; time 1052536.5;  393 to  394.
Jump 59200000; time 1052789.6;  959 to  958.
